板块代码pukey,板块名称,成分数量,成分样例(前3)
001004,全部A股,5121,"000001.SZ,000002.SZ,000004.SZ"
001005,上证A股,2274,"600000.SH,600004.SH,600006.SH"
001006,深证A股,2847,"000001.SZ,000002.SZ,000004.SZ"
001010,创业板,1366,"300001.SZ,300002.SZ,300003.SZ"
001009,中小板,ERR,no data
001008,深证主板,1419,"000001.SZ,000002.SZ,000006.SZ"
001017,ST,79,"000040.SZ,000070.SZ,000525.SZ"
001018,*ST,50,"000506.SZ,000584.SZ,000609.SZ"
001044,全部A股(非金融石油石化),5261,"000002.SZ,000004.SZ,000006.SZ"
001045,融资融券标的,3659,"000001.SZ,000002.SZ,000006.SZ"
001046,可转债标的,518,"110052.SH,110055.SH,110059.SH"
001041,深股通,1372,"000001.SZ,000002.SZ,000006.SZ"
001038,沪股通,1292,"600000.SH,600004.SH,600006.SH"
001047,沪深股通,2664,"000001.SZ,000002.SZ,000006.SZ"
009006195,沪深300成份,300,"000001.SZ,000002.SZ,000063.SZ"
009006062,中证500成份,500,"000009.SZ,000021.SZ,000027.SZ"
009007552,中证1000成份,1000,"000012.SZ,000019.SZ,000025.SZ"
009007063,上证50指数成份,50,"600028.SH,600030.SH,600031.SH"
009007060,上证180指数成份,180,"600000.SH,600009.SH,600010.SH"
